               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.068811,            0.033559,            0.015378,             0.28816,              0.6818,             0.32809,            0.086247,            0.071754,            0.036372,            0.015287,            0.008812,            0.008812,            0.008812
                  38,            0.071861,             0.02959,            0.014604,             0.17287,              0.7253,             0.28913,             0.08376,            0.087474,            0.037767,             0.01429,            0.008779,            0.008779,            0.008779
                  39,            0.081138,            0.033261,            0.014094,             0.28542,              0.6816,             0.36652,             0.12686,            0.075827,            0.030952,            0.014192,            0.008746,            0.008746,            0.008746
                  40,            0.078945,            0.031669,             0.01444,             0.30472,             0.73177,             0.37736,             0.10837,            0.080171,              0.0341,             0.01407,            0.008713,            0.008713,            0.008713
                  41,            0.073213,            0.030835,            0.014503,             0.38224,              0.7479,             0.50746,             0.12436,            0.071444,            0.034584,            0.013946,             0.00868,             0.00868,             0.00868
                  42,            0.072826,            0.029251,            0.013705,              0.3087,             0.27069,              0.1863,            0.049351,            0.091506,            0.032011,            0.014026,            0.008647,            0.008647,            0.008647
                  43,            0.084989,            0.025281,            0.014719,             0.51574,             0.74299,              0.5706,             0.19983,            0.065647,             0.02846,              0.0134,            0.008614,            0.008614,            0.008614
                  44,            0.068638,            0.029089,            0.012955,             0.38997,              0.5844,              0.5194,             0.18647,            0.067965,            0.031522,            0.014032,            0.008581,            0.008581,            0.008581
                  45,            0.066659,            0.028465,            0.011476,             0.57186,             0.62062,             0.61065,               0.224,             0.06605,            0.031194,            0.012555,            0.008548,            0.008548,            0.008548
                  46,            0.067205,            0.032946,            0.011769,             0.70607,             0.59888,             0.64274,             0.17989,            0.068754,            0.031082,            0.012197,            0.008515,            0.008515,            0.008515
                  47,            0.071036,            0.030437,            0.012207,             0.54352,             0.46641,             0.50002,            0.091784,            0.073848,            0.030309,            0.011408,            0.008482,            0.008482,            0.008482
                  48,             0.07291,            0.031003,            0.010023,             0.65406,             0.53766,             0.59792,             0.18181,            0.068959,            0.027018,            0.010762,            0.008449,            0.008449,            0.008449
                  49,             0.06993,            0.027494,            0.011257,             0.40969,             0.45526,             0.42373,             0.11615,            0.077278,            0.027266,            0.013981,            0.008416,            0.008416,            0.008416
                  50,            0.070449,            0.027766,            0.010805,             0.51619,             0.68899,             0.58496,             0.16752,            0.075426,            0.027043,            0.010732,            0.008383,            0.008383,            0.008383
                  51,            0.075734,            0.027008,            0.010473,             0.73323,             0.54496,             0.66928,              0.2741,            0.068145,            0.027449,            0.010281,             0.00835,             0.00835,             0.00835
                  52,            0.066552,            0.028029,            0.010659,             0.70827,             0.51455,             0.62284,             0.23057,            0.066619,            0.028133,            0.011341,            0.008317,            0.008317,            0.008317
                  53,            0.068908,            0.028381,            0.010199,             0.70157,              0.5561,             0.66194,             0.22861,            0.071278,            0.028587,            0.010757,            0.008284,            0.008284,            0.008284
                  54,            0.072055,             0.03059,           0.0079121,             0.68697,             0.63745,             0.69494,             0.20852,            0.066667,            0.028128,           0.0098807,            0.008251,            0.008251,            0.008251
                  55,            0.068931,            0.030804,           0.0083262,             0.68905,             0.59951,             0.66169,             0.21349,            0.069535,             0.02728,            0.009711,            0.008218,            0.008218,            0.008218
                  56,            0.069183,             0.02434,           0.0084359,             0.71321,             0.66836,             0.70915,             0.23052,            0.064091,             0.02695,           0.0093981,            0.008185,            0.008185,            0.008185
                  57,            0.065208,            0.026511,           0.0077253,             0.89239,             0.53724,             0.75559,             0.33185,            0.062929,            0.027675,            0.011267,            0.008152,            0.008152,            0.008152
                  58,            0.061545,            0.028931,           0.0074149,              0.6735,             0.57397,             0.66901,             0.27648,            0.064369,            0.027329,             0.01229,            0.008119,            0.008119,            0.008119
                  59,            0.065339,            0.028036,           0.0065596,             0.58114,             0.60731,             0.55927,             0.14719,            0.076616,            0.028683,            0.011271,            0.008086,            0.008086,            0.008086
                  60,             0.07382,            0.026398,           0.0057834,              0.6476,             0.70369,             0.64947,             0.24737,            0.063524,            0.027105,            0.010112,            0.008053,            0.008053,            0.008053
                  61,            0.064305,            0.025987,           0.0082364,             0.58352,             0.47721,             0.52385,             0.17607,            0.066578,            0.027551,            0.011534,             0.00802,             0.00802,             0.00802
                  62,            0.063587,            0.027585,           0.0054602,             0.69494,             0.50947,             0.66385,             0.26158,              0.0681,            0.026443,            0.012204,            0.007987,            0.007987,            0.007987
                  63,            0.067933,            0.028383,           0.0062545,             0.51046,             0.71564,             0.66855,             0.28247,            0.067092,            0.027411,            0.011621,            0.007954,            0.007954,            0.007954
                  64,            0.069283,            0.028661,           0.0067734,             0.70633,             0.63926,             0.60552,              0.1845,            0.068321,            0.026197,            0.010586,            0.007921,            0.007921,            0.007921
