               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1275,            0.056302,            0.031098,                   0,                   0,                   0,                   0,             0.11459,            0.048256,            0.029316,               0.003,               0.003,                 0.1
                   1,             0.11624,            0.055437,            0.028831,                   0,                   0,                   0,                   0,            0.097473,            0.054413,            0.026421,            0.006937,            0.006937,            0.099937
                   2,             0.10518,            0.063132,            0.024924,            0.032945,            0.037868,            0.018878,           0.0071372,            0.088275,            0.048831,             0.02311,            0.010802,            0.010802,            0.099802
                   3,            0.099956,            0.049054,            0.022283,             0.50708,            0.059607,            0.068013,            0.023693,             0.10283,            0.065585,            0.021644,            0.014595,            0.014595,            0.099595
                   4,             0.10333,            0.041026,            0.020971,             0.26467,            0.051543,             0.03485,           0.0047295,             0.12507,            0.041752,            0.021571,            0.018316,            0.018316,            0.099316
                   5,             0.11602,            0.033427,            0.021912,            0.038866,            0.037868,            0.012671,           0.0030752,             0.12238,            0.065626,            0.021702,            0.021965,            0.021965,            0.098965
                   6,             0.11297,            0.033863,            0.020712,            0.049644,            0.037868,            0.010435,            0.001185,             0.12275,              0.0296,             0.02044,            0.025542,            0.025542,            0.098542
                   7,             0.11035,            0.035398,            0.020559,                   0,                   0,                   0,                   0,             0.13072,            0.069036,            0.020802,            0.029047,            0.029047,            0.098047
                   8,             0.11233,            0.033472,            0.019783,           0.0052181,           0.0080645,           0.0017616,          0.00053678,             0.12755,             0.19925,            0.021276,             0.03248,             0.03248,             0.09748
                   9,             0.11246,            0.032601,            0.020075,            0.052498,             0.14586,            0.021838,           0.0062978,             0.14356,             0.12516,            0.020722,            0.035841,            0.035841,            0.096841
                  10,              0.1119,            0.029332,            0.019224,             0.26323,             0.32707,             0.17255,             0.06001,             0.11532,            0.043229,            0.018263,             0.03913,             0.03913,             0.09613
                  11,            0.097956,            0.037152,            0.020896,             0.35735,             0.18128,             0.12067,            0.050895,            0.099394,            0.077499,            0.018642,            0.042347,            0.042347,            0.095347
                  12,            0.092028,            0.036896,            0.019897,            0.098215,             0.35379,            0.058929,            0.021647,             0.11096,            0.067544,            0.017827,            0.045492,            0.045492,            0.094492
                  13,             0.09615,             0.03747,            0.018333,             0.27958,             0.28927,             0.13891,            0.049762,            0.098273,            0.055548,            0.017816,            0.048565,            0.048565,            0.093565
                  14,            0.084945,            0.039702,            0.018032,            0.079036,              0.3345,            0.044251,            0.013478,             0.11575,            0.051055,            0.017691,            0.051566,            0.051566,            0.092566
